TIME 24 HOURS,COUNTY,PLACE,Date DD/MM/YYYY,NORMALIZED_ROAD,TEXT_CLEAN,FINAL_VEHICLE,ACCIDENT_TYPE_PRED,TIMEOFDAY,ROAD CODE
20:25,MACHAKOS,KYUA,2016-06-09,MACHAKOS KITUI,THE CAR FAILED TO KEEP TO THE NEAR SIDE OF THE ROAD AND LOST CONTROL OF THE CAR,CAR,DRIVER FAULT,EVENING,OTHER
21:20,KISII,KERUBE,2016-06-09,IKONGE MAGWAGWA,THE CAR LOST CONTROL WHILE NEGOTIATING A CORNER,CAR,DRIVER FAULT,NIGHT,OTHER
23:45,NAKURU,NYARUI,2016-06-09,ROAD OLENGURUONE,THE BICYCLE RAMMED INTO THE CAR,BICYCLE,UNKNOWN,NIGHT,OTHER
11:00,MURANG'A,NEAR SAGANA,2016-06-08,SAGANA MURANG'A,THE BICYCLE LOST CONTROL AND FELL OFF,BICYCLE,DRIVER FAULT,MORNING,OTHER
18:00,KERICHO,CHAGAIK,2016-06-08,NAKURU KERICHO,HIT AND RUN,BUS,HIT AND RUN,EVENING,OTHER
22:00,KWALE,LUNGALUNGA SHOPPING CENTRE,2016-06-08,VANGA LUNGALUNGA,THE KMDK HIT THE REAR OF THE OTHER BICYCLE,BICYCLE,DRIVER FAULT,NIGHT,OTHER
18:00,MAKUENI,KISENE BRIDGE,2016-06-08,WOTE MAKINDU,THE CAR LOST CONTROL AND PLUNGED INTO THE MISEKE BRIDGE,CAR,DRIVER FAULT,EVENING,OTHER
12:30,MIGORI,KEHANCHA TOWN,2016-06-08,NTIMARU KEHANCHA,HIT AND RUN,CAR,HIT AND RUN,AFTERNOON,OTHER
12:30,MIGORI,KEHANCHA TOWN,2016-06-08,NTIMARU KEHANCHA,HIT AND RUN,BUS,HIT AND RUN,AFTERNOON,OTHER
08:10,KAKAMEGA,CHEMOI,2016-06-07,WEBUYE ELDORET,HIT AND RUN,CAR,HIT AND RUN,MORNING,OTHER
09:15,MAKUENI,KABATI TOWNSHIP,2016-06-07,TOWNSHIP KABATI,THE CAR HIT THE MOTORCYCLE,CAR,DRIVER FAULT,MORNING,OTHER
15:30,NAIROBI,KAMULU,2016-06-07,KANGUNDO,THE CAR KNOCKED DOWN THE PERSON,CAR,VICTIM FAULT,AFTERNOON,OTHER
